seq,send_timestamp,out_size_b,recv_timestamp,in_size_b
336.0,1603319496.5739348,124.0,,
337.0,1603319496.6048772,124.0,,
338.0,1603319496.6367896,124.0,,
339.0,1603319496.6680667,124.0,,
340.0,1603319496.6990612,124.0,,
341.0,1603319496.7299647,124.0,,
342.0,1603319496.7608693,124.0,,
343.0,1603319496.791797,124.0,,
344.0,1603319496.822723,124.0,,
345.0,1603319496.8546376,124.0,,
346.0,1603319496.8856988,124.0,,
347.0,1603319496.9171326,124.0,,
348.0,1603319496.9480846,124.0,,
349.0,1603319496.9789662,124.0,,
350.0,1603319497.0102918,124.0,,
351.0,1603319497.0422063,124.0,,
352.0,1603319497.074121,124.0,,
353.0,1603319497.1060357,124.0,,
354.0,1603319497.136631,124.0,,
355.0,1603319497.1688545,124.0,,
356.0,1603319497.1988022,124.0,,
357.0,1603319497.2307162,124.0,,
358.0,1603319497.262625,124.0,,
359.0,1603319497.2945406,124.0,,
360.0,1603319497.3264542,124.0,,
361.0,1603319497.3587358,124.0,,
362.0,1603319497.3880062,124.0,,
363.0,1603319497.4186792,124.0,,
364.0,1603319497.4495957,124.0,,
365.0,1603319497.481505,124.0,,
366.0,1603319497.5124245,124.0,,
367.0,1603319497.5443444,124.0,,
368.0,1603319497.5762534,124.0,,
369.0,1603319497.6078558,124.0,,
370.0,1603319497.6393816,124.0,,
371.0,1603319497.6693301,124.0,,
372.0,1603319497.7012079,124.0,,
373.0,1603319497.7321615,124.0,,
374.0,1603319497.7630734,124.0,,
375.0,1603319497.7949884,124.0,,
376.0,1603319497.8267038,124.0,,
377.0,1603319497.8578973,124.0,,
378.0,1603319497.8898344,124.0,,
379.0,1603319497.921754,124.0,,
380.0,1603319497.953674,124.0,,
381.0,1603319497.9845796,124.0,,
382.0,1603319498.016474,124.0,,
383.0,1603319498.0474296,124.0,,
384.0,1603319498.0787277,124.0,,
385.0,1603319498.1094491,124.0,,
386.0,1603319498.1403666,124.0,,
387.0,1603319498.172281,124.0,,
388.0,1603319498.2031987,124.0,,
389.0,1603319498.2351131,124.0,,
390.0,1603319498.2660306,124.0,,
391.0,1603319498.297289,124.0,,
392.0,1603319498.3299267,124.0,,
393.0,1603319498.3598597,124.0,,
394.0,1603319498.3917737,124.0,,
395.0,1603319498.4236884,124.0,,
396.0,1603319498.4548235,124.0,,
397.0,1603319498.486736,124.0,,
398.0,1603319498.5186608,124.0,,
399.0,1603319498.550676,124.0,,
400.0,1603319498.5814197,124.0,,
401.0,1603319498.6134048,124.0,,
402.0,1603319498.6420422,124.0,,
403.0,1603319498.6729596,124.0,,
404.0,1603319498.703877,124.0,,
405.0,1603319498.7337968,124.0,,
406.0,1603319498.7657115,124.0,,
407.0,1603319498.797648,124.0,,
408.0,1603319498.829541,124.0,,
409.0,1603319498.8614557,124.0,,
410.0,1603319498.8933706,124.0,,
411.0,1603319498.925285,124.0,,
412.0,1603319498.957201,124.0,,
413.0,1603319498.9891162,124.0,,
414.0,1603319499.0211813,124.0,,
415.0,1603319499.0529454,124.0,,
416.0,1603319499.0848603,124.0,,
417.0,1603319499.1167753,124.0,,
418.0,1603319499.1486876,124.0,,
419.0,1603319499.179605,124.0,,
420.0,1603319499.2105224,124.0,,
421.0,1603319499.2424371,124.0,,
422.0,1603319499.2743518,124.0,,
423.0,1603319499.305575,124.0,,
424.0,1603319499.3371856,124.0,,
425.0,1603319499.3691003,124.0,,
426.0,1603319499.401015,124.0,,
427.0,1603319499.4329298,124.0,,
428.0,1603319499.4648442,124.0,,
429.0,1603319499.495911,124.0,,
430.0,1603319499.5280237,124.0,,
431.0,1603319499.5578063,124.0,,
432.0,1603319499.588724,124.0,,
433.0,1603319499.6202908,124.0,,
434.0,1603319499.6522074,124.0,,
435.0,1603319499.6831245,124.0,,
436.0,1603319499.7140422,124.0,,
437.0,1603319499.745525,124.0,,
438.0,1603319499.7773206,124.0,,
439.0,1603319499.8072329,124.0,,
440.0,1603319499.839147,124.0,,
441.0,1603319499.870064,124.0,,
442.0,1603319499.9019787,124.0,,
443.0,1603319499.9318988,124.0,,
444.0,1603319499.9632292,124.0,,
445.0,1603319499.9944737,124.0,,
446.0,1603319500.0261397,124.0,,
447.0,1603319500.0570214,124.0,,
448.0,1603319500.0889673,124.0,,
449.0,1603319500.120885,124.0,,
450.0,1603319500.152103,124.0,,
451.0,1603319500.1840582,124.0,,
452.0,1603319500.2150629,124.0,,
453.0,1603319500.246898,124.0,,
454.0,1603319500.2768412,124.0,,
455.0,1603319500.308931,124.0,,
456.0,1603319500.3396764,124.0,,
457.0,1603319500.3715897,124.0,,
458.0,1603319500.4035044,124.0,,
459.0,1603319500.435419,124.0,,
460.0,1603319500.4668999,124.0,,
461.0,1603319500.4981217,124.0,,
462.0,1603319500.5291855,124.0,,
463.0,1603319500.5600188,124.0,,
464.0,1603319500.590936,124.0,,
465.0,1603319500.622851,124.0,,
466.0,1603319500.6547656,124.0,,
467.0,1603319500.685846,124.0,,
468.0,1603319500.717761,124.0,,
469.0,1603319500.7486782,124.0,,
470.0,1603319500.780596,124.0,,
471.0,1603319500.8125374,124.0,,
472.0,1603319500.844457,124.0,,
473.0,1603319500.8743773,124.0,,
474.0,1603319500.905262,124.0,,
475.0,1603319500.9372108,124.0,,
476.0,1603319500.9692383,124.0,,
477.0,1603319501.0010684,124.0,,
478.0,1603319501.033016,124.0,,
479.0,1603319501.0639362,124.0,,
480.0,1603319501.094856,124.0,,
481.0,1603319501.1267304,124.0,,
482.0,1603319501.1586452,124.0,,
483.0,1603319501.189882,124.0,,
484.0,1603319501.2212534,124.0,,
485.0,1603319501.253243,124.0,,
486.0,1603319501.2851577,124.0,,
487.0,1603319501.3170724,124.0,,
488.0,1603319501.348987,124.0,,
489.0,1603319501.3809018,124.0,,
490.0,1603319501.411726,124.0,,
491.0,1603319501.443497,124.0,,
492.0,1603319501.4741905,124.0,,
493.0,1603319501.5051427,124.0,,
494.0,1603319501.5370576,124.0,,
495.0,1603319501.5689712,124.0,,
496.0,1603319501.5998929,124.0,,
497.0,1603319501.6317983,124.0,,
498.0,1603319501.6632562,124.0,,
499.0,1603319501.6949415,124.0,,
