timestamp,sens_position_raw,sens_position_proc,sens_speed_raw,sens_speed_proc,sens_angle_raw,sens_angle_proc,sens_ang_vel_raw,sens_ang_vel_proc,act_force_raw,act_force_proc
1603319487.3594012,-0.061008087728725825,,-0.33347775582886685,,-0.10381517379856128,,-0.6465142866436228,,3.964028928287169,3.964028928287169
1603319487.3753588,-0.06154165213805201,-0.06154165213805201,-0.3213168878565372,-0.3213168878565372,-0.10484959665719108,-0.10484959665719108,-0.6293311163014,-0.6293311163014,,
1603319487.3913157,-0.06202362746983681,,-0.3097190400959972,,-0.10579359333164318,,-0.6129240853589314,,4.032600066398473,4.032600066398473
1603319487.4072733,-0.06251917793399041,-0.06251917793399041,-0.2973554676851283,-0.2973554676851283,-0.10677427186821746,-0.10677427186821746,-0.595463142713701,-0.595463142713701,,
1603319487.4232304,-0.06299494668228661,,-0.28481167455868833,,-0.10772701289655938,,-0.5777337657235279,,4.09175827139083,4.09175827139083
1603319487.4391878,-0.06342216419412465,-0.06342216419412465,-0.27305819552108657,-0.27305819552108657,-0.10859361354514467,-0.10859361354514467,-0.5611457760490097,-0.5611457760490097,,
1603319487.455145,-0.06385905730695839,,-0.2603692632023848,,-0.10949144678682309,,-0.5432287631796332,,4.141862470638307,4.141862470638307
1603319487.4711337,-0.0642756481280822,-0.0642756481280822,-0.24768707325951062,-0.24768707325951062,-0.1103606128079105,-0.1103606128079105,-0.5253467193821438,-0.5253467193821438,,
1603319487.4870164,-0.06464717873797146,,-0.23567639868219037,,-0.11114863288698372,,-0.50840538825137,,4.1845938841122265,4.1845938841122265
1603319487.5029771,-0.06502426097586296,-0.06502426097586296,-0.2228713415784444,-0.2228713415784444,-0.11196208150818591,-0.11196208150818591,-0.4903677306929805,-0.4903677306929805,,
1603319487.5189326,-0.06535856798823063,,-0.21077472461318245,,-0.11269763310422538,,-0.4733263471543182,,4.217357342828178,4.217357342828178
1603319487.5348892,-0.06569580754761171,-0.06569580754761171,-0.19787761710711183,-0.19787761710711183,-0.1134549552596723,-0.1134549552596723,-0.45518024495501425,-0.45518024495501425,,
1603319487.5508466,-0.0660124117349831,,-0.1849079134182505,,-0.11418324365160032,,-0.4369355832434782,,4.2420835918454145,4.2420835918454145
1603319487.566836,-0.06628977360511047,-0.06628977360511047,-0.17275374117689196,-0.17275374117689196,-0.11483864702646554,-0.11483864702646554,-0.41985680689111204,-0.41985680689111204,,
1603319487.5827897,-0.0665661795909935,,-0.1597406904479021,,-0.11551041791749132,,-0.40157894210265427,,4.2591005330631955,4.2591005330631955
1603319487.598749,-0.06682176469571013,-0.06682176469571013,-0.14673274173408188,-0.14673274173408188,-0.11615294422485557,-0.11615294422485557,-0.38332712564520227,-0.38332712564520227,,
1603319487.6146762,-0.06704186380831126,,-0.13451270334362406,,-0.11672793491332338,,-0.36619055288763647,,4.269015117730534,4.269015117730534
1603319487.6306322,-0.06725708413366106,-0.06725708413366106,-0.12148265188545637,-0.12148265188545637,-0.1173138397979436,-0.1173138397979436,-0.3479356174244086,-0.3479356174244086,,
1603319487.64659,-0.06743930811148925,,-0.1092640271528681,,-0.11783574322408022,,-0.33083023545174384,,4.271334211542889,4.271334211542889
1603319487.6625483,-0.06761413055493384,-0.06761413055493384,-0.09623506997559406,-0.09623506997559406,-0.118365071600803,-0.118365071600803,-0.31260675365320784,-0.31260675365320784,,
1603319487.6785066,-0.0677681066668948,,-0.08322423874470784,,-0.11886524240664814,,-0.2944265097234145,,4.2668727159646895,4.2668727159646895
1603319487.6946752,-0.06789294302501186,-0.06789294302501186,-0.07102995825444064,-0.07102995825444064,-0.11930688217123327,-0.11930688217123327,-0.2773999971544419,-0.2773999971544419,,
1603319487.710421,-0.06800659095821897,,-0.05806092252479953,,-0.11975072216668037,,-0.2593132216206195,,4.2559316294621805,4.2559316294621805
1603319487.7264132,-0.06809948843425864,-0.06809948843425864,-0.04509521391933164,-0.04509521391933164,-0.12016562332127335,-0.12016562332127335,-0.2412432183015711,-0.2412432183015711,,
1603319487.7423701,-0.06816713125513764,,-0.03299523574107659,,-0.12052748814872571,,-0.22440282200446265,,4.238211423297825,4.238211423297825
1603319487.758314,-0.06821992363232336,-0.06821992363232336,-0.020091473429179378,-0.020091473429179378,-0.12088653266393286,-0.12088653266393286,-0.20645454347708384,-0.20645454347708384,,
