tick,force_value,force_target
446.0,-0.06841994113878558,
447.0,-0.0684778970393031,-0.0684778970393031
448.0,-0.0684778970393031,
449.0,-0.06850628803991551,-0.06850628803991551
450.0,-0.06850628803991551,
451.0,-0.0683219462989338,-0.0683219462989338
452.0,-0.0683219462989338,
453.0,-0.06847483226634811,-0.06847483226634811
454.0,-0.06847483226634811,
455.0,-0.0684569000061705,-0.0684569000061705
456.0,-0.0684569000061705,
457.0,-0.06835003882187671,-0.06835003882187671
458.0,-0.06835003882187671,
459.0,-0.06818201077054109,-0.06818201077054109
460.0,-0.06818201077054109,
461.0,-0.06843255174523231,-0.06843255174523231
462.0,-0.06843255174523231,
463.0,-0.06844416664992126,-0.06844416664992126
464.0,-0.06844416664992126,
465.0,-0.06798907270736483,-0.06798907270736483
466.0,-0.06798907270736483,
467.0,-0.06823582907061013,-0.06823582907061013
468.0,-0.06823582907061013,
469.0,-0.06797256595144914,-0.06797256595144914
470.0,-0.06797256595144914,
471.0,-0.0679952419940726,-0.0679952419940726
472.0,-0.0679952419940726,
473.0,-0.06801891262324165,-0.06801891262324165
474.0,-0.06801891262324165,
475.0,-0.06812172934511325,-0.06812172934511325
476.0,-0.06812172934511325,
477.0,-0.06833669889330804,-0.06833669889330804
478.0,-0.06833669889330804,
479.0,-0.06797551087759451,-0.06797551087759451
480.0,-0.06797551087759451,
481.0,-0.0679142360506251,-0.0679142360506251
482.0,-0.0679142360506251,
483.0,-0.06821033365797811,-0.06821033365797811
484.0,-0.06821033365797811,
485.0,-0.06781339519303714,-0.06781339519303714
486.0,-0.06781339519303714,
487.0,-0.06808593715262637,-0.06808593715262637
488.0,-0.06808593715262637,
489.0,-0.06773877842183512,-0.06773877842183512
490.0,-0.06773877842183512,
491.0,-0.06768779858019272,-0.06768779858019272
492.0,-0.06768779858019272,
493.0,-0.06827270883172357,-0.06827270883172357
494.0,-0.06827270883172357,
495.0,-0.06817278145581362,-0.06817278145581362
496.0,-0.06817278145581362,
497.0,-0.06816790284719985,-0.06816790284719985
498.0,-0.06816790284719985,
499.0,-0.06745631436780103,-0.06745631436780103
500.0,-0.06745631436780103,
501.0,-0.06761201210042708,-0.06761201210042708
502.0,-0.06761201210042708,
503.0,-0.06753989000481066,-0.06753989000481066
504.0,-0.06753989000481066,
505.0,-0.06745225325491107,-0.06745225325491107
506.0,-0.06745225325491107,
507.0,-0.06746875445429927,-0.06746875445429927
508.0,-0.06746875445429927,
509.0,-0.06774696217834504,-0.06774696217834504
510.0,-0.06774696217834504,
511.0,-0.06731171906205707,-0.06731171906205707
512.0,-0.06731171906205707,
513.0,-0.06750331763708045,-0.06750331763708045
514.0,-0.06750331763708045,
515.0,-0.06718278457969529,-0.06718278457969529
516.0,-0.06718278457969529,
517.0,-0.06707906808992714,-0.06707906808992714
518.0,-0.06707906808992714,
519.0,-0.06706130257875145,-0.06706130257875145
520.0,-0.06706130257875145,
521.0,-0.067138700201074,-0.067138700201074
522.0,-0.067138700201074,
523.0,-0.06683607200474243,-0.06683607200474243
524.0,-0.06683607200474243,
525.0,-0.06688108159477553,-0.06688108159477553
526.0,-0.06688108159477553,
527.0,-0.06660472204865238,-0.06660472204865238
528.0,-0.06660472204865238,
529.0,-0.06695008979057038,-0.06695008979057038
530.0,-0.06695008979057038,
531.0,-0.06638654401185501,-0.06638654401185501
532.0,-0.06638654401185501,
533.0,-0.06669720580644461,-0.06669720580644461
534.0,-0.06669720580644461,
535.0,-0.0663792684771598,-0.0663792684771598
536.0,-0.0663792684771598,
537.0,-0.06666858184785214,-0.06666858184785214
538.0,-0.06666858184785214,
539.0,-0.06603122692540794,-0.06603122692540794
540.0,-0.06603122692540794,
541.0,-0.06610265209447756,-0.06610265209447756
542.0,-0.06610265209447756,
543.0,-0.06587025130393459,-0.06587025130393459
544.0,-0.06587025130393459,
545.0,-0.06587835006055456,-0.06587835006055456
546.0,-0.06587835006055456,
547.0,-0.06551917371690197,-0.06551917371690197
548.0,-0.06551917371690197,
549.0,-0.06552566645546971,-0.06552566645546971
550.0,-0.06552566645546971,
551.0,-0.0651979469010626,-0.0651979469010626
552.0,-0.0651979469010626,
553.0,-0.06546818082944145,-0.06546818082944145
554.0,-0.06546818082944145,
555.0,-0.0649475145075615,-0.0649475145075615
556.0,-0.0649475145075615,
557.0,-0.06467652973430191,-0.06467652973430191
558.0,-0.06467652973430191,
559.0,-0.06496689105582017,-0.06496689105582017
560.0,-0.06496689105582017,
561.0,-0.06444308381293165,-0.06444308381293165
562.0,-0.06444308381293165,
563.0,-0.06425127538817256,-0.06425127538817256
564.0,-0.06425127538817256,
565.0,-0.06417605390945028,-0.06417605390945028
566.0,-0.06417605390945028,
567.0,-0.06380057693357745,-0.06380057693357745
568.0,-0.06380057693357745,
569.0,-0.06371473700185923,-0.06371473700185923
570.0,-0.06371473700185923,
571.0,-0.06332921934891979,-0.06332921934891979
572.0,-0.06332921934891979,
573.0,-0.06318841675718556,-0.06318841675718556
574.0,-0.06318841675718556,
575.0,-0.06307232071705242,-0.06307232071705242
576.0,-0.06307232071705242,
577.0,-0.06259167025994775,-0.06259167025994775
578.0,-0.06259167025994775,
579.0,-0.06238692115676043,-0.06238692115676043
580.0,-0.06238692115676043,
581.0,-0.06236037806629279,-0.06236037806629279
582.0,-0.06236037806629279,
583.0,-0.0618115898313678,-0.0618115898313678
584.0,-0.0618115898313678,
585.0,-0.061367259535245335,-0.061367259535245335
586.0,-0.061367259535245335,
587.0,-0.0611884733501106,-0.0611884733501106
588.0,-0.0611884733501106,
589.0,-0.0608568382090538,-0.0608568382090538
590.0,-0.0608568382090538,
591.0,-0.06088628195662465,-0.06088628195662465
592.0,-0.06088628195662465,
593.0,-0.06022769184267284,-0.06022769184267284
594.0,-0.06022769184267284,
595.0,-0.05973377799806494,-0.05973377799806494
596.0,-0.05973377799806494,
597.0,-0.0593411545143733,-0.0593411545143733
598.0,-0.0593411545143733,
599.0,-0.05937710033300596,-0.05937710033300596
600.0,-0.05937710033300596,
601.0,-0.05859861564607113,-0.05859861564607113
602.0,-0.05859861564607113,
603.0,-0.05808855038362659,-0.05808855038362659
604.0,-0.05808855038362659,
605.0,-0.05796254185928322,-0.05796254185928322
606.0,-0.05796254185928322,
607.0,-0.057302421943013666,-0.057302421943013666
608.0,-0.057302421943013666,
609.0,-0.05670210458163529,-0.05670210458163529
610.0,-0.05670210458163529,
611.0,-0.05613291873394517,-0.05613291873394517
612.0,-0.05613291873394517,
613.0,-0.05599430469437916,-0.05599430469437916
614.0,-0.05599430469437916,
615.0,-0.05516406110951449,-0.05516406110951449
616.0,-0.05516406110951449,
617.0,-0.05442429471787733,-0.05442429471787733
618.0,-0.05442429471787733,
619.0,-0.05428261840128902,-0.05428261840128902
620.0,-0.05428261840128902,
621.0,-0.05334112487501841,-0.05334112487501841
622.0,-0.05334112487501841,
623.0,-0.05263510893341834,-0.05263510893341834
624.0,-0.05263510893341834,
625.0,-0.05225105273617925,-0.05225105273617925
626.0,-0.05225105273617925,
627.0,-0.05120899321785661,-0.05120899321785661
628.0,-0.05120899321785661,
629.0,-0.05073853608763191,-0.05073853608763191
630.0,-0.05073853608763191,
631.0,-0.049669022814127536,-0.049669022814127536
632.0,-0.049669022814127536,
633.0,-0.04898677094993622,-0.04898677094993622
634.0,-0.04898677094993622,
635.0,-0.04808724932962266,-0.04808724932962266
636.0,-0.04808724932962266,
637.0,-0.04713305843191483,-0.04713305843191483
638.0,-0.04713305843191483,
639.0,-0.04658306643456094,-0.04658306643456094
640.0,-0.04658306643456094,
641.0,-0.045445752014375625,-0.045445752014375625
642.0,-0.045445752014375625,
643.0,-0.044476485592991916,-0.044476485592991916
644.0,-0.044476485592991916,
645.0,-0.04325509124262209,-0.04325509124262209
646.0,-0.04325509124262209,
647.0,-0.042611419859457295,-0.042611419859457295
648.0,-0.042611419859457295,
649.0,-0.041148631727244624,-0.041148631727244624
650.0,-0.041148631727244624,
651.0,-0.040287901852456606,-0.040287901852456606
652.0,-0.040287901852456606,
653.0,-0.03886013731646202,-0.03886013731646202
654.0,-0.03886013731646202,
655.0,-0.03755227549701639,-0.03755227549701639
656.0,-0.03755227549701639,
657.0,-0.036150575536906884,-0.036150575536906884
658.0,-0.036150575536906884,
659.0,-0.03526382039469017,-0.03526382039469017
660.0,-0.03526382039469017,
661.0,-0.033389832224342664,-0.033389832224342664
662.0,-0.033389832224342664,
663.0,-0.032073845641667424,-0.032073845641667424
664.0,-0.032073845641667424,
665.0,-0.03053939273833476,-0.03053939273833476
666.0,-0.03053939273833476,
667.0,-0.02897677780863977,-0.02897677780863977
668.0,-0.02897677780863977,
669.0,-0.027216007468111012,-0.027216007468111012
670.0,-0.027216007468111012,
671.0,-0.02544650453447264,-0.02544650453447264
672.0,-0.02544650453447264,
673.0,-0.02402805313999213,-0.02402805313999213
674.0,-0.02402805313999213,
675.0,-0.021883636544973828,-0.021883636544973828
676.0,-0.021883636544973828,
677.0,-0.01993115549469201,-0.01993115549469201
678.0,-0.01993115549469201,
679.0,-0.018211411526093804,-0.018211411526093804
680.0,-0.018211411526093804,
681.0,-0.01578657464996922,-0.01578657464996922
682.0,-0.01578657464996922,
683.0,-0.013606894400039315,-0.013606894400039315
684.0,-0.013606894400039315,
685.0,-0.011601626107363889,-0.011601626107363889
686.0,-0.011601626107363889,
687.0,-0.009120571266925427,-0.009120571266925427
688.0,-0.009120571266925427,
