tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
192.0,-0.0017291597951810869,-0.07186149277757509,-0.00483150177716903,-0.10497417605666434,-0.0017291597951810869,-0.07186149277757509,-0.00483150177716903,-0.10497417605666434
193.0,-0.002098488990991667,-0.06791849115215315,-0.005371012251073137,-0.09893725878389904,,,,
194.0,-0.0024360428732483888,-0.06411489753977297,-0.005862728943181724,-0.09315417760275567,-0.0024360428732483888,-0.06411489753977297,-0.005862728943181724,-0.09315417760275567
195.0,-0.0027499594135180815,-0.050791620982089024,-0.00631882632876337,-0.07175197514819857,,,,
196.0,-0.00300408162615826,-0.03718387827215183,-0.006677818035139373,-0.049921744896073365,-0.00300408162615826,-0.03718387827215183,-0.006677818035139373,-0.049921744896073365
197.0,-0.0031912242183824704,-0.020182386559084577,-0.006929068985344957,-0.02253639398373904,,,,
198.0,-0.0032937383097536126,-0.003026080408525082,-0.0070435399843649,0.005088636555764667,-0.0032937383097536126,-0.003026080408525082,-0.0070435399843649,0.005088636555764667
199.0,-0.0033084167636611168,0.007776047879715612,-0.007018856794544363,0.022296673267136562,,,,
200.0,-0.003268822729723398,0.019182399696309534,-0.006905326727382595,0.04047971989234967,-0.003268822729723398,0.019182399696309534,-0.006905326727382595,0.04047971989234967
201.0,-0.0031717512510916995,0.01553295549714487,-0.006700481331250883,0.033934959025849545,,,,
202.0,-0.0030946232459463908,0.011955205783475337,-0.0065319792264947945,0.027531112832505755,-0.0030946232459463908,0.011955205783475337,-0.0065319792264947945,0.027531112832505755
203.0,-0.003035771222928061,0.02354527662195822,-0.006396451514510245,0.046075589643017036,,,,
204.0,-0.0029141033840539917,0.035716228075630074,-0.006158360558658561,0.0655696355793756,-0.0029141033840539917,0.035716228075630074,-0.006158360558658561,0.0655696355793756
205.0,-0.0027400758127474082,0.02283826404641308,-0.00583887205032074,0.04394265320786044,,,,
