tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
56.0,8.879141356390472e-09,1.3882446054480895e-07,2.3508128617965912e-08,1.2631663819992439e-06,8.879141356390472e-09,1.3882446054480895e-07,2.3508128617965912e-08,1.2631663819992439e-06
57.0,9.525615772475024e-09,3.77027058935558e-07,2.939041150972632e-08,8.771404428056558e-07,,,,
58.0,1.1383957639191694e-08,7.693907741268215e-08,3.3713779738145054e-08,-5.002831798872727e-07,1.1383957639191694e-08,7.693907741268215e-08,3.3713779738145054e-08,-5.002831798872727e-07
59.0,1.1740221575097515e-08,1.8122168581893636e-07,3.1397234482759124e-08,4.2635009241046514e-07,,,,
60.0,1.2627707482536068e-08,2.5898364638073967e-07,3.348517278296599e-08,4.0096102066115364e-07,1.2627707482536068e-08,2.5898364638073967e-07,3.348517278296599e-08,4.0096102066115364e-07
61.0,1.4085607748901245e-08,1.8839034624087954e-07,3.5742308270063765e-08,4.6236533649842606e-07,,,,
62.0,1.5008487594974115e-08,1.3315807174694896e-07,3.8007326935253224e-08,7.206887011736679e-07,1.5008487594974115e-08,1.3315807174694896e-07,3.8007326935253224e-08,7.206887011736679e-07
63.0,1.5639727162480483e-08,-5.27833931718019e-08,4.1423771902255496e-08,-4.824120972124853e-07,,,,
64.0,1.5373686034545258e-08,-2.481123353130263e-07,3.899229770630385e-08,-5.54164177174744e-07,1.5373686034545258e-08,-2.481123353130263e-07,3.899229770630385e-08,-5.54164177174744e-07
65.0,1.4182747817442042e-08,-2.0211787497111375e-07,3.633231187241004e-08,-2.233395759616869e-07,,,,
66.0,1.318475341792764e-08,-1.3881322952128178e-07,3.5229531398236045e-08,-2.923150990456977e-07,1.318475341792764e-08,-1.3881322952128178e-07,3.5229531398236045e-08,-2.923150990456977e-07
67.0,1.2382073830568843e-08,-1.3711674393863275e-07,3.3539235999952165e-08,-4.045120833048768e-07,,,,
68.0,1.1698394388264565e-08,-1.4155485996419911e-07,3.152229344738547e-08,3.698885297383642e-07,1.1698394388264565e-08,-1.4155485996419911e-07,3.152229344738547e-08,3.698885297383642e-07
69.0,1.1010257003261788e-08,-3.248224320980395e-07,3.3320424049620215e-08,-9.496572438184884e-07,,,,
70.0,9.379941383947804e-09,-3.351156906188135e-07,2.855400127643978e-08,-7.17324120026395e-07,9.379941383947804e-09,-3.351156906188135e-07,2.855400127643978e-08,-7.17324120026395e-07
71.0,7.7322006561493e-09,-1.5980530495812909e-07,2.502696807361619e-08,-4.84192092612182e-07,,,,
72.0,6.942972114210113e-09,3.894212385931035e-07,2.263569439611893e-08,9.456275565686917e-07,6.942972114210113e-09,3.894212385931035e-07,2.263569439611893e-08,9.456275565686917e-07
73.0,8.826500616918305e-09,-8.42448045943637e-08,2.720944713281668e-08,-1.5362204414828283e-07,,,,
74.0,8.415576616508477e-09,-1.2509977177700936e-07,2.6460119204091555e-08,-2.2895743946989066e-07,8.415576616508477e-09,-1.2509977177700936e-07,2.6460119204091555e-08,-2.2895743946989066e-07
75.0,7.812818644297871e-09,-1.6221783870178927e-07,2.535695234793294e-08,-3.311018877993634e-07,,,,
76.0,7.0150885764296965e-09,-5.207749800348213e-08,2.3728710142641163e-08,-6.342330939780097e-08,7.0150885764296965e-09,-5.207749800348213e-08,2.3728710142641163e-08,-6.342330939780097e-08
77.0,6.719073672231867e-09,-4.563363532945776e-07,2.336820425094022e-08,-1.0110615691060388e-06,,,,
78.0,4.479572900271847e-09,-4.319951424470983e-07,1.840635287056064e-08,-1.4693544971773196e-07,4.479572900271847e-09,-4.319951424470983e-07,1.840635287056064e-08,-1.4693544971773196e-07
79.0,2.462385838461232e-09,-5.561822027061111e-07,1.772024263697571e-08,-1.2911277533971255e-06,,,,
80.0,-2.5952647940669216e-10,-5.204591250916733e-07,1.140156411973131e-08,-1.1322157995048405e-06,-2.5952647940669216e-10,-5.204591250916733e-07,1.140156411973131e-08,-1.1322157995048405e-06
81.0,-3.1562255339007514e-09,-2.576293525757674e-07,5.100034801110515e-09,-4.3207707735614826e-07,,,,
82.0,-4.410365479863036e-09,-1.526397034801937e-07,2.9966831564736096e-09,2.5821455268939776e-07,-4.410365479863036e-09,-1.526397034801937e-07,2.9966831564736096e-09,2.5821455268939776e-07
83.0,-5.146777255655621e-09,-2.842243190104637e-07,4.2424418479936125e-09,-8.188476206538859e-07,,,,
84.0,-6.539694134632857e-09,-1.8369731271696908e-07,2.2946126951905922e-10,-3.3920088370418195e-07,-6.539694134632857e-09,-1.8369731271696908e-07,2.2946126951905922e-10,-3.3920088370418195e-07
85.0,-7.471250578289354e-09,-3.12788426362304e-07,-1.4906769526195593e-09,-6.726159274789887e-07,,,,
86.0,-8.996372851359376e-09,-2.0679546057566717e-07,-4.770278900012724e-09,-3.188374914996505e-07,-8.996372851359376e-09,-2.0679546057566717e-07,-4.770278900012724e-09,-3.188374914996505e-07
87.0,-9.977847475093618e-09,1.1916798023830169e-07,-6.283517663237348e-09,4.087064140323503e-07,,,,
88.0,-9.390502701706186e-09,1.482851751829107e-07,-4.269121047201841e-09,1.7655163445230953e-07,-9.390502701706186e-09,1.482851751829107e-07,-4.269121047201841e-09,1.7655163445230953e-07
89.0,-8.570825700843129e-09,1.103306247069288e-07,-3.29319534156854e-09,3.056333987196536e-07,,,,
90.0,-8.029257789381982e-09,1.1419923985848353e-07,-1.7929659913128984e-09,6.568923300884705e-07,-8.029257789381982e-09,1.1419923985848353e-07,-1.7929659913128984e-09,6.568923300884705e-07
91.0,-7.501560003507524e-09,-2.5612856510324357e-08,1.2424362458224736e-09,-3.1457681458360844e-07,,,,
92.0,-7.628562069670388e-09,-1.7495759426955548e-07,-3.174016973974192e-10,-5.335014616718924e-07,-7.628562069670388e-09,-1.7495759426955548e-07,-3.174016973974192e-10,-5.335014616718924e-07
93.0,-8.595051964573087e-09,-8.310497255354803e-08,-3.2645373949041373e-09,1.301197686879012e-07,,,,
94.0,-9.000824541888515e-09,2.5987274411984465e-10,-2.629207976244425e-09,4.3012883212427085e-07,-9.000824541888515e-09,2.5987274411984465e-10,-2.629207976244425e-09,4.3012883212427085e-07
