tick,tick_dt,input_force,output_ang_vel,output_angle,output_speed,output_position
108.0,0.005920548000176495,1.0440723823263952e-05,-6.735029898624444e-07,1.8492821360992845e-09,-4.879090628777474e-09,-7.940684591321488e-09
109.0,0.004356422000000748,1.866131202227717e-05,1.2481637163625806e-06,-1.084781106003749e-09,1.4717248725729196e-07,-7.961939969076691e-09
110.0,0.004877002999819524,1.866131202227717e-05,-3.6383801138702856e-07,5.002517082962442e-09,3.248006817307093e-07,-7.2441793072319775e-09
111.0,0.0049098909998974705,2.1303875094605224e-05,1.3484805673275775e-06,3.2161121054326772e-09,5.22144321753917e-07,-5.649443363241805e-09
112.0,0.0059853669999938575,2.1303875094605224e-05,4.733187084773637e-07,1.1287263193248155e-08,1.9787577076524538e-07,-2.524217970581735e-09
113.0,0.004678680000324675,-8.02446361167614e-06,1.1375072110739533e-06,1.3501769968380702e-08,2.4577213637169995e-07,-1.5984205593535513e-09
114.0,0.0048823219999576395,-8.02446361167614e-06,-5.154367885967485e-07,1.905544645011752e-08,1.6631363449081754e-07,-3.9848185096941145e-10
115.0,0.005132329999923968,1.867967709873537e-05,5.762238428809616e-07,1.641005475693796e-08,2.2994870350828478e-07,4.55094604724201e-10
116.0,0.004885045000264654,1.867967709873537e-05,8.364922105173178e-07,1.9224934159636886e-08,3.374463169639052e-07,1.5784043691146869e-09
117.0,0.004680868999912491,-1.419353286333808e-05,3.3016268791603066e-07,2.3140444616515674e-08,1.6103647690464802e-07,3.157946373325675e-09
118.0,0.005567124000208423,-1.419353286333808e-05,-1.6714865394130459e-07,2.497850124038633e-08,-4.931064045258387e-09,4.054456408810551e-09
119.0,0.0046410140002990374,1.9363763104632313e-06,6.010482895032976e-07,2.4202761997313597e-08,7.954159718477495e-09,4.0315712715401355e-09
120.0,0.004873058000157471,1.9363763104632313e-06,-4.731520530981638e-07,2.7131705172958605e-08,2.5669345380226837e-08,4.0703323531907924e-09
121.0,0.005504153999936534,1.165676132520532e-05,4.3450216467495195e-07,2.4527403407320163e-08,1.4710056710918692e-07,4.21162038324112e-09
122.0,0.004397866000090289,1.165676132520532e-05,8.646502550837929e-07,2.6438285704309765e-08,2.4751135213712384e-07,4.858548965924613e-09
123.0,0.005489773000135756,-1.8935340574871128e-05,-8.133274018582831e-07,3.1185019329229266e-08,3.8942439702401036e-08,6.217330104114089e-09
124.0,0.005099192999750812,-1.8935340574871128e-05,7.18287818830864e-07,2.703770593516799e-08,-1.6598751253792105e-07,6.415905120037791e-09
125.0,0.004575605000354699,-2.9662283942741686e-05,-4.980363100914761e-07,3.032430727070436e-08,-2.5906340374865367e-07,5.656411827672841e-09
126.0,0.0048916220002865884,-2.9662283942741686e-05,-1.3155955587632448e-06,2.7888101899319342e-08,-5.354337120579661e-07,4.3891715824268e-09
127.0,0.005458520000047429,1.5657915097475527e-05,-3.1764929116450546e-07,2.0706897229836598e-08,-3.6339331939167227e-07,1.4664959564587559e-09
128.0,0.005472800999996252,1.5657915097475527e-05,1.9280135989162112e-07,1.8968465871503392e-08,-1.942849581595075e-07,-5.222833652999456e-10
129.0,0.004441057999883924,-1.4905067211683817e-05,-8.444117651505928e-08,1.9824707893238574e-08,-7.5553824952435e-08,-1.3851141329913398e-09
130.0,0.0049023189999388705,-1.4905067211683817e-05,-1.1005328637857594e-06,1.9410750309231606e-08,-1.9547450244377468e-07,-1.7555030845737174e-09
131.0,0.00473797500035289,2.2399652184227007e-05,4.471894686489082e-07,1.4196453113547906e-08,6.791992246713468e-09,-2.681656390358742e-09
132.0,0.004927125999984128,2.2399652184227007e-05,6.416141389134419e-07,1.639981197144703e-08,1.7010901460587634e-07,-2.6481913887682693e-09
